epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.453,2.11305,2.14875,1.3777,0.95542,0.1134,0.45393,0.2091,1.86403,2.47461,1.29247,0.000657534,0.000657534,0.000657534
2,340.64,2.06456,1.57401,1.30569,0.65798,0.55967,0.5954,0.22989,1.99074,1.6797,1.36249,0.00129798,0.00129798,0.00129798
3,532.27,2.01274,1.48369,1.29704,0.60375,0.57954,0.59226,0.25248,1.87567,1.54366,1.30727,0.00191203,0.00191203,0.00191203
4,782.963,2.02901,1.41252,1.30347,0.65258,0.51734,0.55347,0.25396,1.96219,1.46816,1.38891,0.0018812,0.0018812,0.0018812
5,952.362,2.04597,1.38749,1.29453,0.65511,0.58291,0.63193,0.27613,1.93053,1.37242,1.33797,0.0018416,0.0018416,0.0018416
6,1125.99,1.95977,1.32222,1.28379,0.69579,0.61846,0.66286,0.3091,1.82316,1.31318,1.29436,0.001802,0.001802,0.001802
7,1299.88,2.01509,1.35627,1.29365,0.70962,0.5962,0.64653,0.29988,1.83544,1.28633,1.3082,0.0017624,0.0017624,0.0017624
8,1464.07,1.96562,1.25148,1.27229,0.72519,0.61258,0.66697,0.30538,1.84573,1.3024,1.29897,0.0017228,0.0017228,0.0017228
9,1639.6,1.95477,1.27333,1.27751,0.74065,0.63128,0.69204,0.31474,1.84604,1.22031,1.30747,0.0016832,0.0016832,0.0016832
10,1803,1.9573,1.2185,1.26868,0.65688,0.58848,0.64122,0.29642,1.87538,1.26974,1.32604,0.0016436,0.0016436,0.0016436
1,236.751,1.89688,1.19507,1.27178,0.76424,0.62669,0.69529,0.32528,1.86497,1.16418,1.28492,0.000657534,0.000657534,0.000657534
2,394.613,1.93569,1.21979,1.24494,0.72983,0.61611,0.68024,0.31545,1.8462,1.23342,1.33281,0.00129798,0.00129798,0.00129798
3,570.651,1.89053,1.19039,1.24186,0.69264,0.55144,0.61828,0.29538,1.85295,1.342,1.32147,0.00191203,0.00191203,0.00191203
4,746.854,1.94661,1.17791,1.26901,0.69734,0.56673,0.64733,0.30058,1.86877,1.28922,1.31434,0.0018812,0.0018812,0.0018812
5,923.743,1.94906,1.22518,1.26179,0.71862,0.60207,0.6712,0.31671,1.85774,1.25099,1.30029,0.0018416,0.0018416,0.0018416
6,1099.33,1.87944,1.15624,1.25651,0.68578,0.60433,0.63612,0.30526,1.84483,1.24146,1.31718,0.001802,0.001802,0.001802
7,1269.9,1.93507,1.21184,1.26865,0.69444,0.5999,0.64497,0.30178,1.86215,1.20834,1.33723,0.0017624,0.0017624,0.0017624
8,1443,1.91051,1.14607,1.25735,0.76635,0.63198,0.69807,0.32651,1.83433,1.15915,1.31109,0.0017228,0.0017228,0.0017228
9,1597.36,1.90557,1.15489,1.25382,0.72542,0.62375,0.67582,0.30454,1.89244,1.18835,1.34438,0.0016832,0.0016832,0.0016832
10,1757.49,1.91066,1.13079,1.25035,0.70935,0.61787,0.67128,0.32092,1.85215,1.16532,1.32156,0.0016436,0.0016436,0.0016436
11,1922.76,1.9728,1.16977,1.26974,0.77535,0.60376,0.69706,0.33165,1.82334,1.13996,1.28683,0.001604,0.001604,0.001604
12,2083.83,1.91671,1.14314,1.25173,0.72404,0.61611,0.6688,0.3203,1.85401,1.16744,1.31288,0.0015644,0.0015644,0.0015644
13,2258.04,1.92101,1.15486,1.26399,0.73662,0.62022,0.6781,0.32107,1.84138,1.15501,1.3016,0.0015248,0.0015248,0.0015248
14,2472.73,1.89264,1.15251,1.26661,0.73302,0.62787,0.67317,0.31928,1.83701,1.16688,1.31046,0.0014852,0.0014852,0.0014852
15,2677.55,1.90251,1.13508,1.25914,0.77667,0.64195,0.71516,0.3344,1.8369,1.14999,1.28416,0.0014456,0.0014456,0.0014456
16,2833.1,1.89975,1.13428,1.24564,0.73604,0.61376,0.69201,0.32605,1.82278,1.17786,1.29808,0.001406,0.001406,0.001406
17,2990.05,1.87556,1.09291,1.24433,0.7728,0.63987,0.72865,0.3428,1.82115,1.09008,1.30342,0.0013664,0.0013664,0.0013664
18,3143.48,1.88794,1.12604,1.24815,0.76314,0.64433,0.70418,0.32548,1.80213,1.14385,1.30274,0.0013268,0.0013268,0.0013268
19,3429.53,1.89502,1.12301,1.24186,0.73827,0.57543,0.65562,0.31497,1.82429,1.20968,1.30429,0.0012872,0.0012872,0.0012872
20,3774.74,1.88215,1.11801,1.25047,0.74669,0.60788,0.67914,0.32612,1.82158,1.16844,1.29608,0.0012476,0.0012476,0.0012476
21,4050.11,1.85823,1.08934,1.23995,0.74857,0.65079,0.69806,0.33196,1.86053,1.12691,1.30134,0.001208,0.001208,0.001208
22,4198.78,1.86031,1.08343,1.23589,0.7734,0.62081,0.70226,0.33111,1.81331,1.1334,1.29771,0.0011684,0.0011684,0.0011684
23,4357.53,1.88285,1.09484,1.23723,0.77013,0.62081,0.70044,0.33814,1.80442,1.13862,1.2845,0.0011288,0.0011288,0.0011288
24,4513.35,1.85517,1.09917,1.23324,0.75229,0.61905,0.68289,0.33244,1.79777,1.14794,1.29482,0.0010892,0.0010892,0.0010892
25,4744.8,1.84917,1.07753,1.22951,0.74723,0.59782,0.66251,0.32426,1.83487,1.18762,1.29842,0.0010496,0.0010496,0.0010496
26,4894.35,1.8735,1.06858,1.22327,0.75155,0.59042,0.66606,0.32659,1.81232,1.17714,1.30817,0.00101,0.00101,0.00101
27,5048.07,1.84582,1.0476,1.21168,0.7698,0.64962,0.7024,0.33509,1.82963,1.08622,1.30018,0.0009704,0.0009704,0.0009704
28,5198.54,1.80848,1.02948,1.21028,0.77748,0.60788,0.69921,0.34093,1.80068,1.17216,1.2925,0.0009308,0.0009308,0.0009308
29,5346.82,1.83674,1.05785,1.21576,0.76244,0.60376,0.68493,0.33064,1.82892,1.15516,1.30641,0.0008912,0.0008912,0.0008912
30,5500.58,1.82806,1.03096,1.21981,0.76787,0.65197,0.72315,0.34204,1.83354,1.06912,1.30048,0.0008516,0.0008516,0.0008516
31,5654.14,1.82089,1.02911,1.20955,0.76828,0.62957,0.69635,0.33203,1.84528,1.08075,1.31005,0.000812,0.000812,0.000812
32,5814.58,1.81971,1.02029,1.2087,0.76642,0.62257,0.69385,0.33657,1.81216,1.13956,1.30036,0.0007724,0.0007724,0.0007724
33,5973.53,1.81416,1.0153,1.20963,0.76889,0.58965,0.67262,0.32303,1.85522,1.18097,1.30861,0.0007328,0.0007328,0.0007328
34,6127.91,1.80408,1.0119,1.20663,0.7732,0.63533,0.69484,0.33202,1.838,1.11546,1.29671,0.0006932,0.0006932,0.0006932
35,6291.48,1.77167,0.98365,1.19979,0.77202,0.60321,0.66668,0.32785,1.83584,1.17088,1.31109,0.0006536,0.0006536,0.0006536
36,6480.25,1.76761,0.9733,1.2016,0.75757,0.602,0.67324,0.32741,1.8494,1.16907,1.31784,0.000614,0.000614,0.000614
37,6630.13,1.77627,0.98374,1.19183,0.75593,0.62375,0.68766,0.32537,1.8797,1.11121,1.33141,0.0005744,0.0005744,0.0005744
38,6781.51,1.79909,0.97598,1.21293,0.77723,0.61905,0.68694,0.3314,1.84328,1.14425,1.31414,0.0005348,0.0005348,0.0005348
39,6933.43,1.7476,0.95628,1.19182,0.80135,0.62199,0.70817,0.33956,1.84474,1.10473,1.30456,0.0004952,0.0004952,0.0004952
40,7086.57,1.80868,0.99882,1.20114,0.79028,0.61434,0.68708,0.3304,1.8443,1.13897,1.31148,0.0004556,0.0004556,0.0004556
41,7297.5,1.80814,0.98358,1.23736,0.78598,0.6361,0.70905,0.33655,1.84488,1.09715,1.31298,0.000416,0.000416,0.000416
42,7632.23,1.77032,0.94775,1.23157,0.80383,0.64491,0.72239,0.3427,1.84041,1.04527,1.30511,0.0003764,0.0003764,0.0003764
43,7906.32,1.77274,0.96565,1.2159,0.82188,0.64491,0.72862,0.34464,1.83623,1.04495,1.30368,0.0003368,0.0003368,0.0003368
44,8068.85,1.7577,0.94366,1.21424,0.78726,0.62551,0.69951,0.33295,1.8472,1.12115,1.31511,0.0002972,0.0002972,0.0002972
45,8231.1,1.74445,0.94036,1.21391,0.79937,0.61839,0.69424,0.33054,1.85576,1.128,1.3194,0.0002576,0.0002576,0.0002576
46,8394.23,1.73453,0.91376,1.21008,0.80067,0.62728,0.71471,0.34028,1.84371,1.1025,1.3137,0.000218,0.000218,0.000218
47,8554.57,1.7498,0.92916,1.21395,0.81366,0.6214,0.71771,0.34349,1.84267,1.08933,1.31324,0.0001784,0.0001784,0.0001784
48,8718.7,1.73326,0.94257,1.20717,0.80225,0.63201,0.71173,0.34183,1.84421,1.08252,1.31248,0.0001388,0.0001388,0.0001388
49,8882.41,1.73699,0.915,1.21065,0.80755,0.62166,0.70768,0.33854,1.85348,1.11384,1.31474,9.92e-05,9.92e-05,9.92e-05
50,9045.95,1.73926,0.92001,1.20848,0.80978,0.62319,0.71388,0.33941,1.85061,1.08059,1.31472,5.96e-05,5.96e-05,5.96e-05
